entity_id,state,last_changed
sensor.nordpool_kwh_se3_sek_3_10_0_2,20.274,2026-07-03T14:15:00.545Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,19.875,2026-07-03T14:30:00.558Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,20.44,2026-07-03T14:45:00.570Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.014,2026-07-03T15:00:00.540Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.236,2026-07-03T15:15:00.540Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,20.684,2026-07-03T15:30:00.543Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,27.106,2026-07-03T15:45:00.550Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,10.353,2026-07-03T16:00:00.554Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,17.926,2026-07-03T16:15:00.544Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,31.313,2026-07-03T16:30:00.540Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,48.066,2026-07-03T16:45:00.580Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.126,2026-07-03T17:00:00.547Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,33.229,2026-07-03T17:15:00.563Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.092,2026-07-03T17:30:00.549Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.059,2026-07-03T17:45:00.419Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,35.465,2026-07-03T18:00:00.444Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,32.365,2026-07-03T18:15:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,33.86,2026-07-03T18:30:00.415Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,33.151,2026-07-03T18:45:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,35.2,2026-07-03T19:00:00.504Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,32.011,2026-07-03T19:15:00.417Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,28.811,2026-07-03T19:30:00.423Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,25.334,2026-07-03T19:45:00.453Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.137,2026-07-03T20:00:00.425Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,28.966,2026-07-03T20:15:00.431Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,23.64,2026-07-03T20:30:00.417Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,18.524,2026-07-03T20:45:00.420Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.375,2026-07-03T21:00:00.425Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,23.762,2026-07-03T21:15:00.449Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.365,2026-07-03T21:30:00.433Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.601,2026-07-03T21:45:00.426Z
