entity_id,state,last_changed
sensor.nordpool_kwh_se3_sek_3_10_0_2,54.708,2026-07-07T22:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,22.078,2026-07-07T22:00:00.165Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,17.052,2026-07-07T22:15:00.270Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.793,2026-07-07T22:30:00.281Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,13.982,2026-07-07T22:45:00.283Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.765,2026-07-07T23:00:00.266Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.379,2026-07-07T23:15:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.036,2026-07-07T23:30:00.286Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.694,2026-07-07T23:45:00.295Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,17.207,2026-07-08T00:00:00.285Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.368,2026-07-08T00:15:00.291Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.981,2026-07-08T00:30:00.284Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.716,2026-07-08T00:45:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.511,2026-07-08T01:00:00.268Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.301,2026-07-08T01:15:00.286Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.125,2026-07-08T01:30:00.296Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.672,2026-07-08T01:45:00.297Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.058,2026-07-08T02:15:00.273Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,16.169,2026-07-08T02:30:00.282Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,19.029,2026-07-08T02:45:00.285Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.053,2026-07-08T03:00:00.296Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,17.571,2026-07-08T03:15:00.287Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,21.989,2026-07-08T03:30:00.285Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,45.69,2026-07-08T03:45:00.287Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,61.351,2026-07-08T04:00:00.286Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,65.78,2026-07-08T04:15:00.284Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,66.211,2026-07-08T04:30:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,68.938,2026-07-08T04:45:00.287Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,71.147,2026-07-08T05:00:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,71.688,2026-07-08T05:15:00.265Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,71.655,2026-07-08T05:30:00.297Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,70.639,2026-07-08T05:45:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,70.982,2026-07-08T06:00:00.284Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,67.271,2026-07-08T06:15:00.286Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,64.94,2026-07-08T06:30:00.285Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,51.179,2026-07-08T06:45:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,39.24,2026-07-08T07:00:00.288Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,26.981,2026-07-08T07:15:00.289Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,17.218,2026-07-08T07:30:00.286Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.462,2026-07-08T07:45:00.364Z
