timestamp_utc,mean,min,max
2026-08-06T11:00:00+00:00,-2133.806257778611,-8003,2317
2026-08-06T12:00:00+00:00,-4025.5813450019446,-8013,5575
2026-08-06T13:00:00+00:00,692.9827858000002,-8002,6383
2026-08-06T14:00:00+00:00,-451.26113875083314,-7994,5992
2026-08-06T15:00:00+00:00,-512.563347793889,-2849,609
2026-08-06T16:00:00+00:00,472.0370290838889,-7998,5872
2026-08-06T17:00:00+00:00,866.258544990278,367,3914
2026-08-06T18:00:00+00:00,888.1648518677775,515,1132
2026-08-06T19:00:00+00:00,1078.7591155702778,922,1248
2026-08-06T20:00:00+00:00,901.7371574836111,764,1062
2026-08-06T21:00:00+00:00,918.0093722563889,725,1856
2026-08-06T22:00:00+00:00,900.339822661111,716,1081
2026-08-06T23:00:00+00:00,818.968194441111,630,1024
2026-08-07T00:00:00+00:00,772.4984409597223,563,1036
2026-08-07T01:00:00+00:00,732.1105617911111,5,1036
2026-08-07T02:00:00+00:00,882.0074079008333,588,1238
2026-08-07T03:00:00+00:00,-1034.4530772727778,-1890,877
2026-08-07T04:00:00+00:00,-603.1569361080554,-1606,547
2026-08-07T05:00:00+00:00,164.29512507749996,-134,407
2026-08-07T06:00:00+00:00,-268.50078168,-1213,3238
2026-08-07T07:00:00+00:00,-2275.738882673611,-4347,-585
2026-08-07T08:00:00+00:00,-1898.3696286638888,-3314,-545
2026-08-07T09:00:00+00:00,-1312.9127077355558,-2946,75
2026-08-07T10:00:00+00:00,-2708.297716059722,-8006,9
2026-08-07T11:00:00+00:00,-970.9724441997222,-8003,8012
2026-08-07T12:00:00+00:00,-1093.741324951667,-8000,5096
2026-08-07T13:00:00+00:00,-58.61414893833335,-5304,2072
2026-08-07T14:00:00+00:00,5.653867470833334,2,9
2026-08-07T15:00:00+00:00,-125.72541909333331,-8001,10
2026-08-07T16:00:00+00:00,36.76558470333334,-7,895
2026-08-07T17:00:00+00:00,44.57854782055554,-706,605
2026-08-07T18:00:00+00:00,538.1440913663888,17,776
2026-08-07T19:00:00+00:00,937.2531989727778,567,2774
2026-08-07T20:00:00+00:00,909.8058739024999,696,1101
2026-08-07T21:00:00+00:00,729.3433927541665,574,875
2026-08-07T22:00:00+00:00,839.3480325525001,532,1109
2026-08-07T23:00:00+00:00,802.2607929202778,558,1102
2026-08-08T00:00:00+00:00,769.6761537661113,615,952
2026-08-08T01:00:00+00:00,784.4351754833333,4,978
2026-08-08T02:00:00+00:00,777.4074061080555,598,1750
2026-08-08T03:00:00+00:00,694.0101120119443,381,990
2026-08-08T04:00:00+00:00,447.77304546166675,-281,1476
2026-08-08T05:00:00+00:00,451.61016657500005,-293,2771
