timestamp_utc,mean,min,max
2026-08-06T11:00:00+00:00,-0.15059301216722218,-2.775,2.068
2026-08-06T12:00:00+00:00,-0.23449212995416668,-3.603,2.996
2026-08-06T13:00:00+00:00,0.47271467118583327,-2.388,2.31
2026-08-06T14:00:00+00:00,0.2602006579736111,-1.378,2.575
2026-08-06T15:00:00+00:00,0.08181533555833333,-0.829,0.53
2026-08-06T16:00:00+00:00,0.4555810744308333,-2.51,2.748
2026-08-06T17:00:00+00:00,0.16616338169416667,-0.195,0.919
2026-08-06T18:00:00+00:00,0.1000654334863889,0.022,0.188
2026-08-06T19:00:00+00:00,0.09633192205333334,-0.017,1.885
2026-08-06T20:00:00+00:00,0.16996840284722223,0.066,0.289
2026-08-06T21:00:00+00:00,0.13477562117805555,-0.167,0.224
2026-08-06T22:00:00+00:00,0.154602990255,0.074,0.265
2026-08-06T23:00:00+00:00,0.09295273157694443,-0.011,0.198
2026-08-07T00:00:00+00:00,0.05817082412861111,-0.031,0.16
2026-08-07T01:00:00+00:00,0.09151165513722222,0.031,0.374
2026-08-07T02:00:00+00:00,0.08839069660944443,0,0.18
2026-08-07T03:00:00+00:00,0.6700336208144444,0.025,0.972
2026-08-07T04:00:00+00:00,0.40688085848722216,0,0.851
2026-08-07T05:00:00+00:00,0.07112756437666667,-0.027,0.179
2026-08-07T06:00:00+00:00,-0.03477876346722223,-1.315,1.574
2026-08-07T07:00:00+00:00,0.034322116835000006,-0.398,0.396
2026-08-07T08:00:00+00:00,0.06426375654694444,-0.133,0.346
2026-08-07T09:00:00+00:00,-0.03790374770861111,-0.756,0.3
2026-08-07T10:00:00+00:00,-0.5913405679013594,-3.541,1.706
2026-08-07T11:00:00+00:00,0.44252267619138896,-2.216,4.463
2026-08-07T12:00:00+00:00,0.2908662822419445,-2.119,2.329
2026-08-07T13:00:00+00:00,-2.161936728373889,-4.185,1.759
2026-08-07T14:00:00+00:00,-3.0746415409188894,-4.078,-0.676
2026-08-07T15:00:00+00:00,-1.5534590558422223,-3.452,-0.206
2026-08-07T16:00:00+00:00,-1.3872320242911111,-2.53,0.018
2026-08-07T17:00:00+00:00,-0.07214005609194447,-0.392,0.117
2026-08-07T18:00:00+00:00,0.03452136661388889,-0.07,0.127
2026-08-07T19:00:00+00:00,0.09736286738555557,-0.5,1.794
2026-08-07T20:00:00+00:00,0.038579716825555554,-0.05,0.167
2026-08-07T21:00:00+00:00,0.07778741816638889,0.004,0.192
2026-08-07T22:00:00+00:00,0.08529916965805556,0.02,0.183
2026-08-07T23:00:00+00:00,0.07680112399638887,-0.056,0.203
2026-08-08T00:00:00+00:00,0.09211568243722222,0.004,0.164
2026-08-08T01:00:00+00:00,0.07313777311388887,0,0.368
2026-08-08T02:00:00+00:00,0.10550356885111113,-0.235,0.227
2026-08-08T03:00:00+00:00,0.04948617889805556,-0.031,0.145
2026-08-08T04:00:00+00:00,0.07019561634527778,-0.187,0.205
2026-08-08T05:00:00+00:00,-0.02725314945027778,-1.075,1.771
2026-08-08T06:00:00+00:00,0.04034063875083333,-0.543,0.437
2026-08-08T07:00:00+00:00,-0.26845254281666664,-1.174,0.236
2026-08-08T08:00:00+00:00,-0.6027688223811111,-2.175,0.383
2026-08-08T09:00:00+00:00,-0.02042745058250001,-2.728,2.369
2026-08-08T10:00:00+00:00,0.06451475300694444,-2.702,1.78
2026-08-08T11:00:00+00:00,0.005827723759722218,-2.763,1.861
2026-08-08T12:00:00+00:00,0.1780611201672222,-4.028,4.317
2026-08-08T13:00:00+00:00,-0.0720932494883333,-4.008,2.704
2026-08-08T14:00:00+00:00,-1.3022553360891669,-3.982,3.097
2026-08-08T15:00:00+00:00,-1.5956618866708332,-3.533,-0.152
2026-08-08T16:00:00+00:00,-0.6256410443958332,-2.403,0.071
2026-08-08T17:00:00+00:00,-0.07670431482055558,-0.71,0.275
2026-08-08T18:00:00+00:00,0.03310108832694445,-0.095,0.119
2026-08-08T19:00:00+00:00,-0.011678683836944448,-0.08,0.078
2026-08-08T20:00:00+00:00,0.0912508683725,-0.517,1.723
2026-08-08T21:00:00+00:00,0.06043036134000001,-0.005,0.141
2026-08-08T22:00:00+00:00,0.07062720036388889,-0.049,0.46
2026-08-08T23:00:00+00:00,0.051543268621388895,-0.025,0.155
2026-08-09T00:00:00+00:00,0.06715997580555555,-0.015,0.302
2026-08-09T01:00:00+00:00,0.06420442350749998,0.01,0.569
2026-08-09T02:00:00+00:00,0.009638588658931326,-0.248,0.158
2026-08-09T03:00:00+00:00,0.0915234639338889,0.012,0.225
2026-08-09T04:00:00+00:00,0.0786502340561111,0.005,0.195
2026-08-09T05:00:00+00:00,0.05547124607722223,-0.01,0.154
2026-08-09T06:00:00+00:00,-0.0659506426477778,-0.973,0.123
2026-08-09T07:00:00+00:00,0.06637917869388889,-0.978,1.053
2026-08-09T08:00:00+00:00,0.005007461564722219,-1.581,1.695
2026-08-09T09:00:00+00:00,-0.08833016376277779,-2.595,1.749
2026-08-09T10:00:00+00:00,-0.4860789818583333,-3.135,2.11
2026-08-09T11:00:00+00:00,-2.904956739191667,-3.5,-1.389
2026-08-09T12:00:00+00:00,-3.5480191065797215,-3.828,-2.498
2026-08-09T13:00:00+00:00,-2.934408272924444,-4.163,-0.134
2026-08-09T14:00:00+00:00,-2.706197181312222,-4.082,-1.323
2026-08-09T15:00:00+00:00,-0.8613813189636113,-4.028,2.311
2026-08-09T16:00:00+00:00,-1.5286538749719443,-2.395,0.905
2026-08-09T17:00:00+00:00,-0.36942993460972223,-1.315,1.432
2026-08-09T18:00:00+00:00,-0.10584251524777777,-0.172,0.008
2026-08-09T19:00:00+00:00,0.052804902563888895,-0.11,1.606
2026-08-09T20:00:00+00:00,0.016765792774166663,-0.065,0.158
2026-08-09T21:00:00+00:00,-0.0045639295633333335,-0.064,0.07
2026-08-09T22:00:00+00:00,0.02693402709222222,-0.121,0.153
2026-08-09T23:00:00+00:00,0.029878097197499995,-0.012,0.106
2026-08-10T00:00:00+00:00,0.02635828639305555,-0.046,0.086
2026-08-10T01:00:00+00:00,0.05068920606777777,0,0.318
2026-08-10T02:00:00+00:00,0.05685183315583334,-0.032,0.648
2026-08-10T03:00:00+00:00,0.6040641174572222,-0.021,1.036
2026-08-10T04:00:00+00:00,0.2622585327430556,-0.018,0.916
2026-08-10T05:00:00+00:00,0.022807272110277787,-0.057,0.159
2026-08-10T06:00:00+00:00,-0.00836843259055555,-1.107,1.138
2026-08-10T07:00:00+00:00,0.007778479369999998,-1.135,1.06
2026-08-10T08:00:00+00:00,-0.3546374055091667,-2.714,1.762
2026-08-10T09:00:00+00:00,-0.07160165090333333,-2.681,2.383
2026-08-10T10:00:00+00:00,0.07083964685333326,-4,2.719
2026-08-10T11:00:00+00:00,0.0463679298116666,-4.081,4.038
2026-08-10T12:00:00+00:00,-2.0542299855311112,-4.043,-0.254
2026-08-10T13:00:00+00:00,-1.1337755482725,-4.078,-0.203
2026-08-10T14:00:00+00:00,-1.0709681557324997,-4.13,0.129
2026-08-10T15:00:00+00:00,-1.1371641029458333,-3.659,0.613
2026-08-10T16:00:00+00:00,0.19631630083111104,-3.084,3.48
2026-08-10T17:00:00+00:00,-0.15620248319138888,-0.87,0.658
2026-08-10T18:00:00+00:00,-0.19732779282833343,-0.76,0.282
2026-08-10T19:00:00+00:00,-0.14166806569444448,-0.431,0.257
2026-08-10T20:00:00+00:00,0.12349319302944445,-0.544,1.779
2026-08-10T21:00:00+00:00,0.07316114895416667,-0.016,0.153
2026-08-10T22:00:00+00:00,0.056480790563611105,-0.007,0.149
2026-08-10T23:00:00+00:00,0.03252575541805555,-0.03,0.123
2026-08-11T00:00:00+00:00,0.043280989131944454,-0.059,0.121
2026-08-11T01:00:00+00:00,0.055166928058055544,-0.173,0.321
2026-08-11T02:00:00+00:00,0.011071319781944448,-0.257,0.132
2026-08-11T03:00:00+00:00,0.02746823103666667,-0.145,0.166
2026-08-11T04:00:00+00:00,0.037693049948611106,-0.024,0.099
2026-08-11T05:00:00+00:00,0.049796410465,-0.092,0.125
2026-08-11T06:00:00+00:00,-0.05127425662972224,-0.827,1.743
2026-08-11T07:00:00+00:00,0.05265030669749999,-0.035,0.166
2026-08-11T08:00:00+00:00,0.004507180832777776,-0.754,1.172
